Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Country of Origin (product.metafields.custom.country_of_origin),Description of the good (product.metafields.custom.description_of_the_good),HS Code (product.metafields.custom.hs_code),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Altersgruppe (product.metafields.shopify.age-group),Farbe (product.metafields.shopify.color-pattern),Stoff (product.metafields.shopify.fabric),Größe (product.metafields.shopify.size),Eigenschaften der Badebekleidung (product.metafields.shopify.swimwear-features),Zielgeschlecht (product.metafields.shopify.target-gender),Ergänzende Produkte (product.metafields.shopify--discovery--product_recommendation.complementary_products),Ähnliche Produkte (product.metafields.shopify--discovery--product_recommendation.related_products),Einstellungen für ähnliche Produkte (product.metafields.shopify--discovery--product_recommendation.related_products_display),Produktboosts suchen (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sophie-top-black,SOPHIE TOP,<p>Sporty top.<br>Adjustable thin shoulders straps.<br>Decorative seam on the edges.<br>Opaque – fully lined.<br>Not padded.<br>Quick drying.<br>Matte finish Italian lycra fabric</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Swimwear,"basic, swimwear, tops",true,Color,BLACK,,Size,S,,,,,SS-2025-01-01,34000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/sophie-bikini-bandeau-top-black.jpg?v=1743420489,1,"Stylish Sophie Bandeau Bikini made of black Italian Lycra fabric with adjustable straps - soft seam, fast-drying, more comfort and perfect fit",false,Sophie Top - Black ,"Sporty top.
Adjustable thin shoulders straps.
Decorative seam on the edges.
Opaque – fully lined.
Not padded.
Quick drying.
Matte finish Italian lycra fabric.",166,,,,new,FALSE,,,,,,,,,FALSE,erwachsene,,,l; m; s,schmeichelnde-silhouette; leicht; schnelltrocknend; verstellbarer-riemen,,"",xenia-bottom-black; caecilia-bottom-black; maria-bottom-black,only manual,,,kg,,,active
sophie-top-black,,,,,,,,,BLACK,,,M,,,,,SS-2025-01-01,38000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Xenia-Bottom-Black.jpg?v=1739269903,2,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sophie-top-black,,,,,,,,,BLACK,,,L,,,,,SS-2025-01-01,43000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/F00D9B9C-F994-45E8-A7B9-6CA4CBC48559.jpg?v=1744361724,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
alessia-top-black,ALESSIA TOP,<p>Strap bandeau top.<br>Adjustable over the shoulder straps.<br>Decorative seam on the edges.<br>Opaque – fully lined.<br>Not padded.<br>Quick drying.<br>Matte finish.<br>Italian lycra fabric.</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Swimwear,"basic, swimwear, tops",true,Color,BLACK,,Size,S,,,,,SW-2022-03-01,35000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/D7870E03-EF5C-483C-90E1-AB7F9B3A934B.png?v=1743439023,1,"",false,Alessia Top ,"Strap bandeau top.
Adjustable over the shoulder straps.
Decorative seam on the edges.
Opaque – fully lined.
Not padded.
Quick drying.
Matte finish.
Italian lycra fabric.",166,,,,new,FALSE,,,,,,,,,FALSE,,,,,,,"",caecilia-bottom-black; xenia-bottom-black; sara-bottom-black; evelyn-pareo-black,only manual,,,kg,,,active
alessia-top-black,,,,,,,,,BLACK,,,M,,,,,SW-2022-03-01,38000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Caecilia-Bottom-Black.jpg?v=1743439020,2,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
alessia-top-black,,,,,,,,,BLACK,,,L,,,,,SW-2022-03-01,41000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/black-strap-bandeau-bikini-top-front.jpg?v=1744705147,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
alessia-top-black,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/476B8542-6794-41D9-88A5-EC97EE70AEBF.jpg?v=1745349869,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorene-top-black,LORENE TOP,<p>Triangle top. <br>Adjustable over the shoulder and under the bust straps. <br>Not padded. <br>Quick drying. <br>Matte finish. <br>Italian lycra fabric.</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Swimwear,"basic, swimwear, tops",true,Color,BLACK,,Size,S,,,,,SS-2025-02-01,32000.0,shopify,deny,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/lorene-triangle-bikini-top-black.jpg?v=1743751095,1,"Stylish Lorene Triangle Bikini Top made of black Italian Lycra fabric - soft seam, fast-drying, more comfort and perfect fit",false,Lorene Top - Black,Triangle top. Adjustable over the shoulder and under the bust straps. Not padded. Quick drying. Matte finish. Italian lycra fabric.,166,,,,new,FALSE,,,,,,,,,FALSE,erwachsene,,,l; m; s,schmeichelnde-silhouette; leicht,,"",sara-bottom-black; evelyn-pareo-black,only manual,,,kg,,,active
lorene-top-black,,,,,,,,,BLACK,,,M,,,,,SS-2025-02-01,35000.0,shopify,deny,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/sara-brazilian-bikini-bottom-black.jpg?v=1743750689,2,"Stylish Sara Brazilian Bikini Bottom made of black Italian Lycra fabric - soft seam, fast-drying, more comfort and perfect fit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lorene-top-black,,,,,,,,,BLACK,,,L,,,,,SS-2025-02-01,38000.0,shopify,deny,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/black-triangle-bikini-top-front.jpg?v=1744705373,3,"Luxurious triangle swimwear basic by Bilali the Label. Made from premium Italian Lycra in SoftTheme. Featuring ultra-soft seams, sculpting fit, and fast-drying fabric for effortless elegance on sunny days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lorene-top-black,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/triangle-bikini-top-front-black.jpg?v=1744706036,4,"Luxurious triangle swimwear basic by Bilali the Label. Made from premium Italian Lycra in SoftTheme. Featuring ultra-soft seams, sculpting fit, and fast-drying fabric for effortless elegance on sunny days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorene-top-black,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/black-brazilian-bikini-bottom-back.jpg?v=1744705397,5,"Luxurious, one-colored Brazilian bikini bottom by Bilali the Label. Made from premium Italian Lycra. Featuring ultra-soft seams, a minimalistic basic bikini design, second-skin fit, and fast-drying fabric for effortless elegance on sunny days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorene-top-off-white,LORENE TOP,<p>Triangle top<br>Adjustable over the shoulder straps<br>Adjustable under the bust strap<br>Opaque - fully lined<br>Not padded <br>Quick drying<br>Matte finish<br>Italian Lycra Fabric</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Swimwear,"basic, swimwear, tops",true,Color,OFF-WHITE,,Size,S,,,,,SW-2022-02-03,32000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/lorene-triangle-bikini-top-white.jpg?v=1743420874,1,"Stylish Lorene Triangle Bikini Top made of white Italian Lycra fabric with adjustable ties - soft seam, fast-drying, more comfort and perfect fit",false,Lorene Top - Offwhite,Triangle top. Adjustable over the shoulder and under the bust straps. Not padded. Quick drying. Matte finish. Italian lycra fabric.,166,,adult,,new,FALSE,,,,,,,,,FALSE,erwachsene,,,s; m; l,schmeichelnde-silhouette; leicht,,"",sara-bottom-off-white; evelyn-pareo-white,only manual,,,kg,,,active
lorene-top-off-white,,,,,,,,,OFF-WHITE,,,M,,,,,SW-2022-02-03,35000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/sara-brazilian-bikini-bottom-offwhite.jpg?v=1743750851,2,"Stylish Sara Brazilian Bikini Top made of white Italian Lycra fabric - soft seam, fast-drying, more comfort and perfect fit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
