id,title,description,link,image_link,price,availability,brand,condition,mpn
sophie-top-black,SOPHIE TOP,<p>Sporty top.<br>Adjustable thin shoulders straps.<br>Decorative seam on the edges.<br>Opaque – fully lined.<br>Not padded.<br>Quick drying.<br>Matte finish Italian lycra fabric</p>,https://bilalithelabel.com/products/sophie-top-black,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/sophie-bikini-bandeau-top-black.jpg?v=1743420489,89.0 EUR,in stock,BILALI The Label,new,SS-2025-01-01
alessia-top-black,ALESSIA TOP,<p>Strap bandeau top.<br>Adjustable over the shoulder straps.<br>Decorative seam on the edges.<br>Opaque – fully lined.<br>Not padded.<br>Quick drying.<br>Matte finish.<br>Italian lycra fabric.</p>,https://bilalithelabel.com/products/alessia-top-black,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/D7870E03-EF5C-483C-90E1-AB7F9B3A934B.png?v=1743439023,89.0 EUR,in stock,BILALI The Label,new,SW-2022-03-01
lorene-top-black,LORENE TOP,<p>Triangle top. <br>Adjustable over the shoulder and under the bust straps. <br>Not padded. <br>Quick drying. <br>Matte finish. <br>Italian lycra fabric.</p>,https://bilalithelabel.com/products/lorene-top-black,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/lorene-triangle-bikini-top-black.jpg?v=1743751095,89.0 EUR,in stock,BILALI The Label,new,SS-2025-02-01
lorene-top-off-white,LORENE TOP,<p>Triangle top<br>Adjustable over the shoulder straps<br>Adjustable under the bust strap<br>Opaque - fully lined<br>Not padded <br>Quick drying<br>Matte finish<br>Italian Lycra Fabric</p>,https://bilalithelabel.com/products/lorene-top-off-white,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/lorene-triangle-bikini-top-white.jpg?v=1743420874,89.0 EUR,in stock,BILALI The Label,new,SW-2022-02-03
lorene-top-beige,LORENE TOP,<p>Triangle top. <br>Adjustable over the shoulder and under the bust straps. <br>Not padded. <br>Quick drying. <br>Matte finish. <br>Italian lycra fabric.</p>,https://bilalithelabel.com/products/lorene-top-beige,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/lorene-triangle-bikini-top-beige-bilalithelabel.jpg?v=1743457326,89.0 EUR,in stock,BILALI The Label,new,SW-2022-02-02
alisa-top-black,ALISA TOP,<p>Strapless bandeau top. <br>Side boning for more hold. <br>Silicon rubber inside for no slipping. <br>Decorative seam on the edges.<br>Opaque - fully lined. <br>Not padded Quick drying. <br>Matte finish Italian lycra fabric.</p>,https://bilalithelabel.com/products/alisa-top-black,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/alisa-bikini-bandeau-top-black.jpg?v=1743420560,89.0 EUR,in stock,BILALI The Label,new,SW-2025-04-01
rike-dress-champagne,RIKE DRESS,<p>Rike is a short blouse-dress. <br>Asymmetrical casual cut with long sleeves. <br>Light italian satin fabric.</p>,https://bilalithelabel.com/products/rike-dress-champagne,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/rike-short-satin-dress-champagne.jpg?v=1744706243,129.0 EUR,in stock,BILALI The Label,new,RW-2022-13-05
michaela-dress-rose,MICHAELA DRESS,<p>Long sleeved blouse dress with adjustable loops. <br>Asymmetrical casual cut. <br>Light italian satin fabric.</p>,https://bilalithelabel.com/products/michaela-dress-rose,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Michaela-Dress-Ros.jpg?v=1712313825,139.0 EUR,in stock,BILALI The Label,new,RW-2022-12-04
evelyn-pareo-black,EVELYN PAREO,"<p>Pareo wrap skirt.<br>Versatile multiuse cover-up garment.<br>Can be tied on the hips or above the bust.<br>Simple cover-up for head, shoulders or other parts from the sun.<br>Soft italian twill fabric.</p>",https://bilalithelabel.com/products/evelyn-pareo-black,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Evelyn-Pareo-Black.jpg?v=1711975554,69.0 EUR,in stock,BILALI The Label,new,evelyn-pareo-black
evelyn-pareo-white,EVELYN PAREO,"Pareo wrap skirt.
Versatile multiuse cover-up garment.
Can be tied on the hips or above the bust.
Simple cover-up for head, shoulders or other parts from the sun.
Soft italian twill fabric.",https://bilalithelabel.com/products/evelyn-pareo-white,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Evelyn-Pareo-White.jpg?v=1711975627,69.0 EUR,in stock,BILALI The Label,new,RW-2022-14-07
